C00030718|72762|2017|70|70|1
C00030718|61822|2017|6|6|1
C00030718|47670|2017|20|20|1
C00030718|47670|2017|9|29|2
C00030718|07083|2017|7|7|1
C00030718|85367|2017|250|250|1
C00030718|85365|2017|10|10|1
C00030718|85715|2017|9|9|1
C00630483|30092|2017|1000|1000|1
C00630483|32792|2017|500|500|1
C00630483|30326|2017|500|500|1
C00630483|30092|2017|500|1500|2
C00630483|30067|2017|1000|1000|1
C00630483|30064|2017|1000|1000|1
C00630954|66215|2017|100|100|1
C00504704|76241|2017|2700|2700|1
C00213512|97128|2017|5|5|1
C00610212|54520|2017|2700|2700|1
C00610212|54520|2017|2700|5400|2
C00213512|87501|2017|25|25|1
C00213512|98199|2017|25|25|1
C00213512|97403|2017|5|5|1
C00610451|85142|2017|2700|2700|1
C00610451|85142|2017|2700|5400|2
C00610451|60045|2017|2700|2700|1
C00610451|85295|2017|1000|1000|1
C00610451|85253|2017|2700|2700|1
C00610451|85234|2017|2700|2700|1
C00610451|85234|2017|2700|5400|2
C00610451|85213|2017|500|500|1
C00610451|85274|2017|2700|2700|1
C00610451|81611|2017|2700|2700|1
C00610451|85253|2017|2700|5400|2
C00610451|91012|2017|1500|1500|1
C00610451|85016|2017|2700|2700|1
C00610451|89169|2017|2700|2700|1
C00610451|85142|2017|2700|8100|3
C00610451|29926|2017|2700|2700|1
C00610451|27539|2017|500|500|1
C00610451|85253|2017|2700|8100|3
C00610451|60045|2017|500|3200|2
C00610451|85253|2017|2700|10800|4
C00610451|85282|2017|500|500|1
C00610451|72221|2017|2700|2700|1
C00610451|85142|2017|2700|8600|4
C00610451|85253|2017|2700|13500|5
C00610451|85296|2017|500|500|1
C00610451|85297|2017|2700|2700|1
C00610451|89169|2017|2700|5400|2
C00610451|85253|2017|2700|16200|6
C00610451|53082|2017|2700|2700|1
C00610451|83001|2017|2000|2000|1
C00610451|83001|2017|2000|4000|2
C00610451|85142|2017|2700|11300|5
C00610451|85299|2017|1000|1000|1
C00610451|85234|2017|1000|6400|3
C00610451|19106|2017|2700|2700|1
C00610451|85004|2017|500|500|1
C00610451|22207|2017|1000|1000|1
C00610451|85296|2017|500|1000|2
C00610451|85286|2017|1000|1000|1
C00610451|22314|2017|500|500|1
C00610451|85142|2017|1000|12300|6
C00610451|44089|2017|500|500|1
C00610451|81611|2017|2700|5400|2
C00610451|85234|2017|1000|6600|4
C00610451|33483|2017|1000|1000|1
C00608489|44089|2017|1000|1000|1
C00631945|33483|2017|500|500|1
C00631945|72221|2017|2700|2700|1
C00003418|29926|2017|100|100|1
C00540443|98136|2017|50|50|1
C00476317|72762|2017|500|500|1
